avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
221,engineering,,0.9328676401,4,,low,0.8298961959,Left,5
232,support,,,3,,low,0.8345437949,Employed,2
184,sales,,0.7888298419,3,,medium,0.8349876115,Employed,3
206,sales,,0.5756879305,4,,low,0.4247642885,Employed,2
249,sales,,0.8452174722,3,,low,0.7790430962,Employed,3
140,sales,,0.5890973711,4,,medium,0.6600199047,Employed,4
121,sales,1,0.6253988298,3,,low,0.8355705513,Employed,3
150,engineering,,0.6445858443,4,,low,0.796683395,Employed,3
215,engineering,1,0.5241135343,3,,medium,0.7150050318,Employed,7
269,support,,0.9093643299,5,,medium,0.9940373976,Employed,2
147,sales,,,2,,medium,0.4035518078,Left,3
188,sales,1,0.925479635,6,,low,0.4814086019,Employed,5
191,support,,0.9467238102,5,,low,0.9253371292,Employed,4
290,engineering,,0.7702478748,6,,medium,0.0903427929,Left,4
253,sales,,0.5799661366,5,,medium,0.6277259548,Employed,6
258,support,,0.8375025132,5,,medium,0.8496672734,Left,5
151,engineering,,0.4528321733,4,,medium,0.6586081484,Employed,3
252,IT,,0.9191962922,5,,low,0.8933649914,Left,5
276,product,,0.5700387334,4,,low,0.3822602015,Employed,2
154,marketing,,,2,,low,0.4222248737,Left,3
259,product,,0.7636067856,2,,low,0.7874680366,Employed,3
136,marketing,,,3,,low,0.4410577424,Employed,3
176,IT,,,3,,low,0.8713863039,Employed,3
231,support,,0.9375087655,4,,medium,0.6683694785,Employed,3
125,temp,,,2,,medium,,Employed,
109,sales,1,0.7980686597,3,,low,0.5378283407,Employed,3
130,procurement,1,0.7160303698,6,,low,0.1754539886,Employed,6
163,sales,,0.5504339586,2,,medium,0.5443767255,Employed,3
67,temp,,,1,,low,,Employed,
184,sales,,0.7629480714,4,,medium,0.6176109945,Employed,3
268,engineering,,0.9438446348,3,,low,0.9360810513,Employed,4
188,finance,,0.8623076819,3,,medium,1,Employed,4
107,engineering,,0.474348552,2,,medium,0.6156761666,Employed,3
156,sales,,0.6211110815,3,,medium,0.4280141783,Employed,3
234,IT,1,0.8615650351,4,,medium,0.6271999429,Employed,2
127,sales,,,5,,low,0.8343801414,Employed,3
282,IT,,0.7233549741,5,,medium,0.2139918193,Employed,3
133,sales,,0.971212667,3,,low,0.818819904,Employed,4
270,engineering,,0.4752925966,6,,low,0.1503367019,Employed,5
184,,,1,5,,low,0.2971240119,Employed,5
132,marketing,,0.4950130196,2,,low,0.4385598318,Left,3
126,support,1,0.8214865647,3,,low,0.7728911985,Employed,10
139,product,,0.8560885429,4,,medium,0.6834560254,Employed,3
308,engineering,,0.8632628371,7,,medium,0.1243502251,Left,4
70,temp,,,3,,low,,Employed,
147,engineering,,,2,,low,0.4019747067,Left,3
274,support,,0.8423573127,5,,medium,0.8030683725,Left,6
278,sales,,0.7662557761,7,,low,0.1486417538,Left,4
156,engineering,,0.9889048417,4,,medium,0.4562484363,Employed,2
185,sales,,0.5987492686,4,,low,0.8692042838,Employed,2
263,sales,,0.7449467702,6,,low,0.7596199999,Employed,6
260,sales,,0.765783959,5,,low,0.7113291175,Employed,3
224,support,,0.5610196064,5,,medium,0.905668552,Employed,2
224,sales,,0.9102708442,4,,medium,0.615978244,Employed,10
135,sales,,0.5333619209,2,,low,0.3880701403,Left,3
147,marketing,,0.7137466635,2,,low,0.9678680208,Employed,3
245,engineering,,0.9325265937,7,,medium,0.06117362275,Left,4
203,product,1,0.4944792745,3,,medium,0.4923765552,Employed,3
235,finance,1,0.7358497795,4,,high,0.928861452,Employed,2
187,IT,,0.7346828879,3,,low,0.2134851717,Employed,5
132,management,,0.5352316223,2,,low,0.4298220845,Left,3
